pre,post,weight
AN00A006,AN00A006,-1.0
AN00A006,AN05B103,-0.25
AN00A006,AN07B004,-0.5
AN00A006,AN08B027,-1.5
AN00A006,ANXXX380,-0.5
AN00A006,AVLP476,-0.5
AN00A006,AVLP700m,-0.5
AN00A006,AVLP705m,-6.0
AN00A006,AVLP709m,-0.75
AN00A006,AVLP710m,-6.5
AN00A006,AVLP714m,-0.5
AN00A006,AVLP728m,-1.3333334
AN00A006,AVLP730m,-9.0
AN00A006,AVLP733m,-1.5
AN00A006,AVLP734m,-2.1
AN00A006,AVLP737m,-20.5
AN00A006,AVLP738m,-7.0
AN00A006,AVLP746m,-1.0
AN00A006,AVLP751m,-0.5
AN00A006,AVLP760m,-4.0
AN00A006,CL062_a2,-0.25
AN00A006,CL062_b1,-0.5
AN00A006,CL199,-1.25
AN00A006,CL208,-2.5
AN00A006,CL248,-1.75
AN00A006,CL310,-2.0
AN00A006,CL311,-0.5
AN00A006,CL344_a,-0.5
AN00A006,CRE004,-1.5
AN00A006,CRE012,-0.75
AN00A006,CRE021,-0.75
AN00A006,CRE044,-2.5
AN00A006,DNa01,-3.0
AN00A006,DNa14,-0.5
AN00A006,DNd05,-1.0
AN00A006,DNde002,-0.5
AN00A006,DNp36,-5.0
AN00A006,DNp46,-2.5
AN00A006,DNp52,-0.5
AN00A006,DNp60,-0.5
AN00A006,DNp62,-0.25
AN00A006,DNp64,-1.0
AN00A006,DNp67,-1.0
AN00A006,DNpe043,-2.5
AN00A006,DNpe050,-2.25
AN00A006,GNG011,-1.5
AN00A006,GNG304,-0.25
AN00A006,GNG305,-9.5
AN00A006,GNG525,-0.5
AN00A006,GNG667,-26.75
AN00A006,ICL002m,-0.5
AN00A006,ICL008m,-1.0
AN00A006,ICL012m,-7.5
AN00A006,LAL045,-3.5
AN00A006,MBON20,-0.25
AN00A006,OA-VPM4,-8.5
AN00A006,OA-VUMa8,-31.5
AN00A006,PPM1201,-8.0
AN00A006,PVLP016,-0.5
AN00A006,PVLP203m,-0.625
AN00A006,SAD075,-11.875
AN00A006,SCL001m,-1.1666666
AN00A006,SIP119m,-0.21428572
AN00A006,SIP133m,-1.75
AN00A006,SIP136m,-3.75
AN00A006,SIP141m,-0.5
AN00A006,SIP143m,-0.5
AN00A006,SMP471,-27.0
AN00A006,SMP543,-0.5
AN00A006,SMP593,-2.0
AN00A006,SMP709m,-0.5
AN00A006,VES020,-0.8333333
AN00A006,VES022,-2.0
AN00A006,VES024_a,-2.0
AN00A006,VES053,-4.0
AN00A006,VES092,-1.25
AN00A006,VES095,-12.75
AN00A006,VES096,-8.0
AN00A006,VES097,-16.5
AN00A006,VES101,-11.0
AN00A006,VES203m,-7.0
AN00A006,VES204m,-14.0
AN00A006,WED014,-9.5
AN00A006,aIPg1,-1.0
AN00A006,aSP10A_b,-0.25
AN00A006,aSP22,-1.0
AN00A006,pC1_14a,-10.5
AN00A006,pC1_2b,-1.0
AN00A006,pC1_6a,-8.5
AN00A006,pC1_7a,-1.5
AN00A006,pIP10,-51.0
AN05B103,AN05B103,2.75
AN05B103,AN08B020,0.5
AN05B103,AN27X013,0.16666667
AN05B103,AVLP256,0.5
AN05B103,AVLP700m,4.5
AN05B103,AVLP704m,5.5
AN05B103,AVLP709m,1.25
AN05B103,AVLP710m,15.0
AN05B103,AVLP714m,1.5
AN05B103,AVLP716m,4.0
AN05B103,AVLP727m,14.0
AN05B103,AVLP728m,15.666667
AN05B103,AVLP729m,1.5
AN05B103,AVLP730m,0.5
AN05B103,AVLP731m,0.5
AN05B103,AVLP737m,5.5
AN05B103,AVLP738m,21.0
AN05B103,AVLP751m,185.5
AN05B103,AstA1,1.0
AN05B103,CB3302,0.16666667
AN05B103,CL062_a1,15.0
AN05B103,CL062_a2,2.0
AN05B103,CL062_b1,26.0
AN05B103,CL062_b2,1.5
AN05B103,CL062_b3,3.75
AN05B103,CL208,5.1666665
AN05B103,CL248,0.5
AN05B103,CL251,2.0
AN05B103,CL310,1.0
AN05B103,CL326,4.0
AN05B103,CL335,0.5
AN05B103,CL344_a,1.0
AN05B103,CL366,2.5
AN05B103,CRE004,0.5
AN05B103,CRE021,204.25
AN05B103,CRE065,5.5
AN05B103,CRE081,1.0
AN05B103,DNp101,0.5
AN05B103,DNp60,6.0
AN05B103,DNp62,3.75
AN05B103,DNp64,4.5
AN05B103,DNpe050,0.5
AN05B103,DNpe053,1.5
AN05B103,GNG011,3.5
AN05B103,GNG305,5.5
AN05B103,GNG667,0.5
AN05B103,ICL002m,0.5
AN05B103,ICL003m,3.0
AN05B103,ICL010m,0.5
AN05B103,ICL012m,0.5
AN05B103,OA-AL2i1,1.0
AN05B103,OA-ASM2,0.5
AN05B103,OA-VPM4,2.5
AN05B103,OA-VUMa8,1.0
AN05B103,PAL01,3.5
AN05B103,PVLP016,23.5
AN05B103,PVLP200m_b,1.0
AN05B103,PVLP203m,0.75
AN05B103,SIP104m,0.125
AN05B103,SIP119m,0.071428575
AN05B103,SIP124m,0.16666667
AN05B103,SIP133m,0.25
AN05B103,SIP136m,4.25
AN05B103,SIP143m,1.0
AN05B103,SMP028,1.0
AN05B103,SMP092,2.0
AN05B103,SMP543,1.5
AN05B103,SMP586,0.5
AN05B103,SMP593,4.5
AN05B103,SMP709m,0.5
AN05B103,SMP715m,1.0
AN05B103,SMP723m,44.5
AN05B103,VES053,5.0
AN05B103,aSP10A_a,4.0
AN05B103,aSP10A_b,0.5
AN05B103,aSP10B,2.5
AN05B103,pIP10,0.5
AN07B004,AN08B032,-1.0
AN07B004,CB1541,-3.0
AN07B004,CL007,-2.0
AN07B004,CL308,-23.0
AN07B004,CL335,-1.0
AN07B004,CL336,-1.0
AN07B004,CL366,-1.0
AN07B004,DNc01,-1.0
AN07B004,DNp23,-1.0
AN07B004,ExR1,-2.0
AN07B004,ExR2,-0.25
AN07B004,ExR3,-67.0
AN07B004,FB1C,-4.75
AN07B004,FB2A,-0.25
AN07B004,FB2D,-0.33333334
AN07B004,FB4E_a,-0.8
AN07B004,FB4L,-10.25
AN07B004,FB4M,-0.25
AN07B004,FB5G_c,-3.5
AN07B004,FB5Q,-1.5
AN07B004,FB6M,-2.5
AN07B004,LAL192,-4.0
AN07B004,LAL200,-36.0
AN07B004,LNO1,-0.25
AN07B004,OA-VPM3,-39.0
AN07B004,OA-VPM4,-6.0
AN07B004,OA-VUMa8,-1.0
AN07B004,PFL1,-0.35714287
AN07B004,PLP124,-7.5
AN07B004,PLP262,-10.0
AN07B004,PPM1204,-2.0
AN07B004,SAD047,-1.0
AN07B004,SIP064,-20.0
AN07B004,SIP136m,-4.0
AN07B004,VES097,-1.0
AN07B004,WED076,-1.0
AN07B004,WED210,-29.0
AN08B020,AN05B103,0.5
AN08B020,AN08B027,1.0
AN08B020,AN08B032,4.0
AN08B020,AVLP710m,1.0
AN08B020,AVLP714m,45.0
AN08B020,AVLP715m,34.0
AN08B020,AVLP728m,1.3333334
AN08B020,AVLP731m,1.0
AN08B020,AVLP733m,4.0
AN08B020,AVLP737m,1.0
AN08B020,AVLP746m,1.0
AN08B020,AVLP760m,0.5
AN08B020,CL122_a,6.5
AN08B020,CL251,1.0
AN08B020,CL311,3.0
AN08B020,CRE021,1.0
AN08B020,CRE100,1.0
AN08B020,DNc02,3.5
AN08B020,DNde002,3.0
AN08B020,DNp60,1.0
AN08B020,DNp67,17.0
AN08B020,DNpe025,107.0
AN08B020,GNG011,1.0
AN08B020,ICL002m,1.0
AN08B020,ICL003m,21.0
AN08B020,ICL013m_b,48.0
AN08B020,LAL119,1.0
AN08B020,LAL154,4.0
AN08B020,PVLP200m_b,1.0
AN08B020,PVLP203m,2.25
AN08B020,SIP104m,2.25
AN08B020,SIP110m_a,2.0
AN08B020,SIP118m,1.0
AN08B020,SIP119m,1.7142857
AN08B020,SIP122m,1.0
AN08B020,SIP124m,0.33333334
AN08B020,SIP133m,0.5
AN08B020,SIP136m,0.5
AN08B020,SIP145m,0.5
AN08B020,SMP108,6.0
AN08B020,SMP493,1.0
AN08B020,VES087,1.0
AN08B020,VES202m,27.0
AN08B020,aIPg1,8.0
AN08B020,aSP22,3.0
AN08B020,pC1_13b,26.0
AN08B020,pC1_14a,2.0
AN08B020,pC1_7a,2.5
AN08B020,pC1x_b,1.0
AN08B027,AN08B032,1.0
AN08B027,ANXXX152,1.0
AN08B027,AVLP462,2.0
AN08B027,AVLP476,8.0
AN08B027,AVLP562,1.0
AN08B027,CL310,3.0
AN08B027,CRE004,23.0
AN08B027,CRE006,1.0
AN08B027,CRE021,1.0
AN08B027,CRE100,1.0
AN08B027,FB4F_b,1.0
AN08B027,FB4Q_b,1.0
AN08B027,FB5X,0.16666667
AN08B027,GNG525,2.0
AN08B027,GNG667,0.5
AN08B027,LAL007,2.0
AN08B027,LAL008,3.5
AN08B027,LAL042,9.0
AN08B027,LAL045,1.0
AN08B027,LAL155,7.0
