type,n_cells,sign
AN00A006,2,-1.0
AN05B103,2,1.0
AN07B004,1,-1.0
AN08B020,1,1.0
AN08B027,1,1.0
AN08B032,1,1.0
AN09A005,3,0.0
AN27X013,3,0.0
ANXXX152,1,1.0
ANXXX380,1,1.0
AOTU019,1,-1.0
AOTU042,1,-1.0
AOTU046,4,-1.0
AOTU100m,1,1.0
ATL011,1,-1.0
ATL012,1,1.0
ATL018,1,1.0
ATL021,1,-1.0
ATL028,1,1.0
ATL032,1,0.0
ATL035,1,-1.0
ATL036,1,-1.0
ATL042,1,0.0
AVLP025,1,1.0
AVLP036,1,1.0
AVLP069_b,1,-1.0
AVLP095,1,-1.0
AVLP096,1,-1.0
AVLP110_a,1,1.0
AVLP115,1,1.0
AVLP121,2,1.0
AVLP161,1,1.0
AVLP176_b,1,1.0
AVLP178,2,1.0
AVLP190,1,1.0
AVLP192_b,2,1.0
AVLP193,1,1.0
AVLP210,1,1.0
AVLP256,1,-1.0
AVLP306,2,1.0
AVLP314,1,1.0
AVLP397,1,1.0
AVLP444,1,1.0
AVLP462,1,-1.0
AVLP476,1,0.0
AVLP477,2,1.0
AVLP488,1,1.0
AVLP520,1,1.0
AVLP562,2,1.0
AVLP700m,1,1.0
AVLP704m,1,1.0
AVLP705m,1,1.0
AVLP709m,2,1.0
AVLP710m,1,-1.0
AVLP714m,1,1.0
AVLP715m,1,1.0
AVLP716m,1,1.0
AVLP727m,2,1.0
AVLP728m,3,1.0
AVLP729m,1,1.0
AVLP730m,1,1.0
AVLP731m,1,1.0
AVLP733m,1,1.0
AVLP734m,5,-1.0
AVLP737m,1,1.0
AVLP738m,1,1.0
AVLP746m,1,1.0
AVLP751m,1,1.0
AVLP760m,2,-1.0
AstA1,1,-1.0
CB0244,1,1.0
CB1017,1,1.0
CB1062,4,-1.0
CB1187,1,1.0
CB1189,1,1.0
CB1287,2,-1.0
CB1301,1,1.0
CB1541,1,1.0
CB1672,1,1.0
CB2286,1,1.0
CB2672,1,1.0
CB3019,1,1.0
CB3302,3,1.0
CB3394,1,-1.0
CB3433,1,1.0
CB3439,2,-1.0
CB3666,1,-1.0
CB3683,1,1.0
CL007,1,1.0
CL062_a1,2,1.0
CL062_a2,2,1.0
CL062_b1,2,1.0
CL062_b2,1,1.0
CL062_b3,2,1.0
CL109,1,1.0
CL111,1,1.0
CL122_a,2,-1.0
CL199,2,1.0
CL208,3,1.0
CL248,2,-1.0
CL251,1,1.0
CL308,1,1.0
CL310,1,1.0
CL311,1,1.0
CL326,1,1.0
CL335,1,1.0
CL336,1,1.0
CL344_a,2,0.0
CL366,1,-1.0
CRE004,1,1.0
CRE005,3,1.0
